Day,bikes_hired,year,month,date,day_of_week,season,avg_temp,avg_humidity,avg_pressure,avg_windspeed,rainfall_mm,Rain,Fog,Thunderstorm,Snow,rain,fog,thunderstorm,snow
2011-01-01,4555,2011,1,1,Saturday,1,6,84,1025,10,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-02,6250,2011,1,2,Sunday,1,3,79,1028,8,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-03,7262,2011,1,3,Monday,1,0,80,1024,6,0,,,,1,FALSE,FALSE,FALSE,TRUE
2011-01-04,13430,2011,1,4,Tuesday,1,3,87,1013,6,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-05,13757,2011,1,5,Wednesday,1,6,84,1000,19,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-06,9595,2011,1,6,Thursday,1,4,92,996,5,0,1,1,,1,TRUE,TRUE,FALSE,TRUE
2011-01-07,9294,2011,1,7,Friday,1,6,92,999,11,0,1,1,,,TRUE,TRUE,FALSE,FALSE
2011-01-08,9338,2011,1,8,Saturday,1,6,82,997,23,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-09,10558,2011,1,9,Sunday,1,3,79,1012,16,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-10,16058,2011,1,10,Monday,1,3,87,1011,14,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-11,16412,2011,1,11,Tuesday,1,6,82,1006,16,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-12,13894,2011,1,12,Wednesday,1,8,89,1011,16,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-13,15911,2011,1,13,Thursday,1,12,89,1009,23,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-14,14834,2011,1,14,Friday,1,10,87,1010,24,0,1,,1,,TRUE,FALSE,TRUE,FALSE
2011-01-15,11851,2011,1,15,Saturday,1,9,79,1015,24,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-16,10471,2011,1,16,Sunday,1,10,83,1016,23,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-17,10835,2011,1,17,Monday,1,7,90,1019,8,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-18,17703,2011,1,18,Tuesday,1,3,85,1027,11,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-19,18350,2011,1,19,Wednesday,1,3,88,1035,8,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-20,17957,2011,1,20,Thursday,1,3,86,1036,8,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-21,16509,2011,1,21,Friday,1,1,83,1039,8,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-22,10658,2011,1,22,Saturday,1,3,86,1037,10,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-23,9911,2011,1,23,Sunday,1,7,85,1034,13,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-24,17193,2011,1,24,Monday,1,4,83,1030,11,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-25,17045,2011,1,25,Tuesday,1,4,88,1017,14,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-26,16396,2011,1,26,Wednesday,1,4,86,1011,11,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-01-27,16519,2011,1,27,Thursday,1,2,66,1021,18,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-28,15538,2011,1,28,Friday,1,1,65,1023,18,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-29,9379,2011,1,29,Saturday,1,1,75,1022,11,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-30,9455,2011,1,30,Sunday,1,2,75,1023,10,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-01-31,16260,2011,1,31,Monday,1,1,80,1025,6,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-01,16331,2011,2,1,Tuesday,1,3,86,1026,14,0,,1,,,FALSE,TRUE,FALSE,FALSE
2011-02-02,18102,2011,2,2,Wednesday,1,6,89,1024,14,0,1,1,,,TRUE,TRUE,FALSE,FALSE
2011-02-03,15593,2011,2,3,Thursday,1,6,77,1023,19,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-04,14938,2011,2,4,Friday,1,11,77,1016,37,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-05,8442,2011,2,5,Saturday,1,12,77,1017,35,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-06,9437,2011,2,6,Sunday,1,11,77,1020,29,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-07,16537,2011,2,7,Monday,1,8,75,1015,27,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-08,19829,2011,2,8,Tuesday,1,4,80,1022,8,0,,1,,,FALSE,TRUE,FALSE,FALSE
2011-02-09,18197,2011,2,9,Wednesday,1,8,83,1017,13,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-10,11496,2011,2,10,Thursday,1,10,90,1012,13,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-11,16070,2011,2,11,Friday,1,10,89,1011,14,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-12,12855,2011,2,12,Saturday,1,7,84,1011,14,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-13,7034,2011,2,13,Sunday,1,7,87,1002,16,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-14,17836,2011,2,14,Monday,1,7,81,1001,13,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-15,15667,2011,2,15,Tuesday,1,6,88,991,16,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-16,18989,2011,2,16,Wednesday,1,6,83,995,11,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-17,18938,2011,2,17,Thursday,1,7,85,1005,10,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-18,17460,2011,2,18,Friday,1,6,85,1012,13,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-19,6250,2011,2,19,Saturday,1,4,91,1010,14,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-20,7882,2011,2,20,Sunday,1,4,88,1015,10,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-21,13720,2011,2,21,Monday,1,6,85,1013,13,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-22,15948,2011,2,22,Tuesday,1,6,90,1016,6,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-23,12936,2011,2,23,Wednesday,1,8,90,1016,13,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-24,19230,2011,2,24,Thursday,1,10,83,1022,14,0,,,,,FALSE,FALSE,FALSE,FALSE
2011-02-25,18634,2011,2,25,Friday,1,10,83,1023,13,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-26,7749,2011,2,26,Saturday,1,8,83,1014,19,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-27,8349,2011,2,27,Sunday,1,6,82,1021,13,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-02-28,13843,2011,2,28,Monday,1,4,82,1030,11,0,1,,,,TRUE,FALSE,FALSE,FALSE
2011-03-01,15774,2011,3,1,Tuesday,1,4,78,1038,11,0,,,,,FALSE,FALSE,FALSE,FALSE
